order_id,customer_id,order_date,status,payment_method,shipping_method,order_channel,delivery_date
1,26,2024-12-06,Completed,Bank Transfer,Express,Website,2024-12-12
2,213,2024-05-07,Completed,Card,Standard,Mobile App,2024-05-09
3,86,2024-10-27,Completed,Card,Express,Mobile App,2024-11-01
4,250,2024-09-23,Cancelled,Cash on Delivery,Standard,Mobile App,2024-09-28
5,135,2024-11-16,Completed,Cash on Delivery,Express,Mobile App,2024-11-20
6,14,2024-02-18,Completed,Cash on Delivery,Pickup,Mobile App,2024-02-20
7,79,2024-08-27,Completed,Card,Pickup,Website,2024-08-29
8,117,2024-10-02,Completed,Bank Transfer,Pickup,Mobile App,2024-10-03
9,7,2024-11-14,Completed,Bank Transfer,Express,Mobile App,2024-11-15
10,137,2024-10-04,Completed,Card,Express,Website,2024-10-08
11,115,2024-02-25,,Wallet,Pickup,Mobile App,2024-02-28
12,176,2024-07-01,Completed,Bank Transfer,Pickup,Mobile App,2024-07-07
13,72,2024-08-26,Completed,Cash on Delivery,Standard,Website,2024-08-29
14,242,2024-10-25,Completed,Wallet,Standard,Website,2024-10-28
15,59,2024-08-28,Completed,Wallet,Standard,Website,2024-08-30
16,215,2024-11-29,Completed,Bank Transfer,Pickup,Mobile App,2024-12-05
17,221,2024-06-08,Completed,Wallet,Pickup,Website,2024-06-10
18,82,2024-09-11,Completed,Wallet,Pickup,Website,2024-09-17
19,223,2024-09-04,Returned,Bank Transfer,Standard,Website,2024-09-09
20,222,2024-07-19,Completed,Bank Transfer,Express,Mobile App,2024-07-21
21,116,2024-08-01,Completed,Wallet,Pickup,Website,2024-08-03
22,167,2024-06-16,Completed,Cash on Delivery,Express,Mobile App,2024-06-18
23,227,2024-10-11,Completed,Card,Express,Mobile App,2024-10-15
24,146,2024-10-02,Completed,Wallet,Express,Website,2024-10-04
25,187,2024-08-31,Completed,Wallet,Standard,Mobile App,2024-09-01
26,234,2024-07-30,Completed,Cash on Delivery,Express,Mobile App,2024-07-31
27,103,2024-07-01,Completed,Wallet,Pickup,Website,2024-07-07
28,17,2024-08-14,Completed,Wallet,Standard,Mobile App,2024-08-19
29,14,2024-05-05,Completed,Card,Pickup,Website,2024-05-09
30,159,2024-09-28,Completed,Card,Pickup,Mobile App,2024-10-04
31,152,2024-03-29,Completed,Card,Standard,Mobile App,2024-03-30
32,227,2024-04-20,Completed,Bank Transfer,Pickup,Website,2024-04-24
33,108,2024-03-22,Completed,Bank Transfer,Pickup,Website,2024-03-26
34,188,2024-02-29,Returned,Card,Standard,Mobile App,2024-03-05
35,45,2024-12-30,Completed,Card,Pickup,Mobile App,2025-01-03
36,98,2024-03-21,Completed,Bank Transfer,Express,Website,2024-03-23
37,131,2024-09-20,Completed,Cash on Delivery,Pickup,Mobile App,2024-09-24
38,37,2024-09-12,Completed,Wallet,Express,Mobile App,2024-09-17
39,171,2024-07-02,Completed,Wallet,Pickup,Mobile App,2024-07-08
40,168,2024-10-06,Completed,Card,Standard,Mobile App,2024-10-11
41,218,2024-07-28,Completed,Cash on Delivery,Standard,Website,2024-08-02
42,183,2024-08-04,Completed,Bank Transfer,Pickup,Website,2024-08-05
43,215,2024-03-18,Completed,Card,Standard,Website,2024-03-20
44,108,2024-02-11,Completed,Cash on Delivery,Pickup,Website,2024-02-12
45,39,2024-11-24,Completed,Cash on Delivery,Standard,Website,2024-11-30
46,15,2024-11-18,Returned,Cash on Delivery,Express,Website,2024-11-21
47,120,2024-02-13,Completed,Bank Transfer,Pickup,Mobile App,2024-02-19
48,241,2024-09-25,Completed,Bank Transfer,Express,Website,2024-09-27
49,4,2024-01-29,Returned,Wallet,Express,Mobile App,2024-02-02
50,93,2024-04-13,Completed,Wallet,Pickup,Mobile App,2024-04-18
51,214,2024-05-13,Completed,Cash on Delivery,Express,Mobile App,2024-05-16
52,153,2024-12-12,Completed,Cash on Delivery,Pickup,Website,2024-12-14
53,141,2024-09-24,Cancelled,Bank Transfer,Express,Mobile App,2024-09-25
54,210,2024-11-03,Completed,Wallet,Pickup,Website,2024-11-08
55,161,2024-12-16,Completed,Cash on Delivery,Pickup,Mobile App,2024-12-22
